score,area,area_rank,title,company,location,location_tier,work_mode,employment_type,seniority,areas,flags,source,posted_at,first_seen_at,url
51,projects,2,PROJEKTNI VODJA - TEHNOLOG (M/Ž) - M/Ž,"KOVINAR, Novo mesto, inženiring in strojegradnja d.o.o.",NOVO MESTO,other,unknown,permanent,senior,projects,,zrsz,2026-08-31,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3470071/#/pdm/3470071
51,projects,2,PROJEKTNI VODJA / VODJA PISARNE - M/Ž,"EGGMEDIA, programiranje in medijske storitve d.o.o.",CELJE,other,unknown,permanent,senior,projects,,zrsz,2026-09-04,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3472352/#/pdm/3472352
51,projects,2,VODJA PROJEKTOV - M/Ž,"ELEKTROSIGNAL ELEKTRO TEHNIŠKO PODJETJE, D.O.O. CELJE",CELJE,other,unknown,permanent,senior,projects,,zrsz,2026-08-25,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3435857/#/pdm/3435857
51,projects,2,VODJA PROJEKTOV GRADNJE - M/Ž,LESOTEKA HIŠE podjetje za izdelavo masivnih lesenih hiš d.o.o.,RADLJE OB DRAVI,other,unknown,permanent,senior,projects,,zrsz,2026-08-28,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3469802/#/pdm/3469802
48,projects,2,Projektni vodja elektrotehnične smeri (vpisan v IZS) m/ž,JAVNA RAZSVETLJAVA d.d.,Ljubljana,ljubljana,unknown,unknown,senior,projects,body:vodenje evidenc,mojedelo,2026-09-14,2026-09-15T18:28:18.605Z,https://www.mojedelo.com/job-ad/projektni-vodja-elektrotehnicne-smeri-vpisan-v-izs-m-z/85745001-1ab1-46e8-9b22-6c220a5912cd
48,ld,1,"SAMOSTOJNI SVETOVALEC I – OBMOČNA SLUŽBA LJUBLJANA, URAD ZA DELO GROSUPLJE, RIBNICA, KOČEVJE – M/Ž - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,KOČEVJE,other,unknown,fixed-term,mid,ld,,zrsz,2026-09-03,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3471551/#/pdm/3471551
48,ld,1,"STROKOVNI SODELAVEC VII/2 (II) - PROJEKT RAZVOJ IN VZPOSTAVITEV NOVEGA STORITVENEGA MODELA ZRSZ S KREPITVIJO DIGITALNEGA POSLOVANJA – NSM (NOVI STORITVENI MODEL), CENTRALNA SLUŽBA, DELOVNO PODROČJE ZA SPLOŠNE ZADEVE, KONTAKTNI CENTER - M/Ž",ZAVOD REPUBLIKE SLOVENIJE ZA ZAPOSLOVANJE,KRANJ,other,unknown,fixed-term,mid,ld,,zrsz,2026-09-09,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3475564/#/pdm/3475564
44,projects,2,D057020 STROKOVNI DELAVEC V VISOKOŠOLSKI DEJAVNOSTI VII/2-II - M/Ž,UP; UP IAM,KOPER,other,unknown,fixed-term,mid,projects,,zrsz,2026-09-11,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3476897/#/pdm/3476897
44,projects,2,UDELEŽENEC NA PROJEKTU PODJETNO NAD IZZIVE (PONI) - M/Ž,RRA KOROŠKA REGIONALNA RAZVOJNA AGENCIJA ZA KOROŠKO REGIJO D.O.O.,DRAVOGRAD,other,unknown,fixed-term,unknown,projects,,zrsz,2026-09-07,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3473415/#/pdm/3473415
44,projects,2,VODJA PROJEKTOV - M/Ž,OBMOČNA RAZVOJNA AGENCIJA KRASA IN BRKINOV d.o.o.,SEŽANA,other,unknown,fixed-term,senior,projects,,zrsz,2026-09-14,2026-09-15T18:28:18.605Z,https://www.ess.gov.si/iskalci-zaposlitve/iskanje-zaposlitve/iskanje-dela/?idp=3478200/#/pdm/3478200
